src,dst,importance
BMP2K,AAK1,0.3333333333333333
PIM3,AAK1,0.3333333333333333
PIM2,AAK1,0.2903225806451613
CDK15,AAK1,0.2857142857142857
CDC42BPA,AAK1,0.2727272727272727
SGK494,AAK1,0.2608695652173913
CLK4,AAK1,0.2592592592592592
MAP3K8,AAK1,0.2592592592592592
NUAK2,AAK1,0.25
RIOK2,AAK1,0.2424242424242424
ALPK1,AAK1,0.2333333333333333
CDK18,AAK1,0.2307692307692307
TSSK3,AAK1,0.2307692307692307
MAP3K12,AAK1,0.225
PAK6,AAK1,0.2222222222222222
SMG1,AAK1,0.2195121951219512
IARS,AARS,0.3103448275862069
IARS2,AARS,0.2307692307692307
TARS,AARS,0.1923076923076923
HARS,AARS,0.1785714285714285
GARS,AARS,0.1764705882352941
DARS,AARS,0.1612903225806451
EPRS,AARS,0.15
CA1,AARS,0.1481481481481481
CARS,AARS,0.1481481481481481
LARS,AARS,0.1463414634146341
FAM129A,AARS,0.1428571428571428
HSPA4,AARS,0.1379310344827586
MSRB2,AARS,0.1379310344827586
EEA1,AARS,0.1351351351351351
ARHGEF12,AARS,0.1333333333333333
FARSB,AARS,0.1333333333333333
CRYM,AASS,0.25
HSPB9,AASS,0.2105263157894736
IRF2BP2,AASS,0.1904761904761904
WDR26,AASS,0.1818181818181818
AMACR,AASS,0.1666666666666666
NIPSNAP3A,AASS,0.1666666666666666
DBT,AASS,0.16
TOB2,AASS,0.16
SAMD9,AASS,0.1578947368421052
GZMB,AASS,0.15625
PTRF,AASS,0.15625
ADAP1,AASS,0.1538461538461538
ANKRD33,AASS,0.15
C10orf10,AASS,0.15
MIER1,AASS,0.1481481481481481
PARP9,AASS,0.1458333333333333
ABCC2,ABCB11,0.2105263157894736
ABCC3,ABCB11,0.1454545454545454
ABCC4,ABCB11,0.1388888888888889
SLC51A,ABCB11,0.12
ACSL5,ABCB6,0.1568627450980392
MARCH1,ABCB6,0.1509433962264151
MARCH2,ABCB6,0.1272727272727272
CLN5,ABCB6,0.125
ITM2C,ABCB6,0.12
RTN3,ABCB6,0.12
ACSL4,ABCB6,0.1186440677966101
ATP8A2,ABCB6,0.1176470588235294
C6orf25,ABCB6,0.1176470588235294
GOLGA4,ABCB6,0.1176470588235294
ACSL6,ABCB6,0.1153846153846153
ATP6AP1,ABCB6,0.1147540983606557
TMEM50B,ABCB6,0.1136363636363636
PLD3,ABCB6,0.1132075471698113
SPAST,ABCB6,0.1125
ACSL3,ABCB6,0.1111111111111111
ABCC3,ABCC2,0.4545454545454545
ABCC4,ABCC2,0.2884615384615384
ABCB11,ABCC2,0.2105263157894736
SLC4A3,ABCC2,0.1842105263157894
LST1,ABCC2,0.15
GYPC,ABCC2,0.1428571428571428
ADCY4,ABCC2,0.1388888888888889
CD58,ABCC2,0.1388888888888889
SLC22A5,ABCC2,0.1304347826086956
SLC16A3,ABCC2,0.1282051282051282
AQP8,ABCC2,0.125
ATP8B1,ABCC2,0.125
HMMR,ABCC2,0.125
LRRC8B,ABCC2,0.125
SLC44A5,ABCC2,0.125
ENTPD1,ABCC2,0.1219512195121951
ABCC2,ABCC3,0.4545454545454545
ABCC4,ABCC3,0.3555555555555555
SLC4A3,ABCC3,0.1818181818181818
LST1,ABCC3,0.1764705882352941
ABCB11,ABCC3,0.1454545454545454
GYPC,ABCC3,0.1304347826086956
ADCY4,ABCC3,0.1290322580645161
MAGT1,ABCC3,0.1290322580645161
SLC51A,ABCC3,0.1290322580645161
SLC16A3,ABCC3,0.1176470588235294
AQP8,ABCC3,0.1111111111111111
ENTPD1,ABCC3,0.1111111111111111
ICAM2,ABCC3,0.1111111111111111
LRRC8B,ABCC3,0.1111111111111111
SLC44A5,ABCC3,0.1111111111111111
ABCC3,ABCC4,0.3555555555555555
ABCC2,ABCC4,0.2884615384615384
ABCB11,ABCC4,0.1388888888888889
SLC7A5,ABCC4,0.1323529411764706
SLC51A,ABCC4,0.125
SLC22A18,ABCC4,0.1224489795918367
SLC22A5,ABCC4,0.1206896551724138
ACSL5,ABCC4,0.1176470588235294
SLC16A3,ABCC4,0.1176470588235294
SLC4A3,ABCC4,0.1153846153846153
RABAC1,ABCC4,0.1136363636363636
SLC44A5,ABCC4,0.1136363636363636
AMN,ABCD1,0.5692307692307692
LONP2,ABCD1,0.1578947368421052
PLA2G16,ABCD1,0.1428571428571428
SLC27A2,ABCD1,0.140625
PNPLA8,ABCD1,0.1269841269841269
DDX39A,ABCD1,0.1111111111111111
EPRS,ABCD1,0.1111111111111111
MYO9B,ABCD1,0.1111111111111111
HN1,ABHD14B,0.4545454545454545
HSPB9,ABHD14B,0.4545454545454545
IER5,ABHD14B,0.4285714285714285
MIDN,ABHD14B,0.3846153846153846
ARL4A,ABHD14B,0.375
MOB1B,ABHD14B,0.3684210526315789
HSPA12A,ABHD14B,0.3636363636363636
GRAP2,ABHD14B,0.3571428571428571
HIST1H2BD,ABHD14B,0.3571428571428571
IER2,ABHD14B,0.3571428571428571
MAD2L1BP,ABHD14B,0.3571428571428571
PTMA,ABHD14B,0.3571428571428571
SEC14L2,ABHD14B,0.3571428571428571
SENP3,ABHD14B,0.3571428571428571
WDR26,ABHD14B,0.3571428571428571
RPAP2,ABHD14B,0.3529411764705882
FAM180B,ABHD15,0.3333333333333333
BROX,ABHD15,0.2857142857142857
C1orf56,ABHD15,0.2857142857142857
