src,dst
ABCA1,R-HSA-5619084|ABC transporter disorders
ABCB11,R-HSA-5619084|ABC transporter disorders
ABCB6,R-HSA-5619084|ABC transporter disorders
ABCC2,R-HSA-5619084|ABC transporter disorders
ABCD1,R-HSA-5619084|ABC transporter disorders
ADRM1,R-HSA-5619084|ABC transporter disorders
DERL2,R-HSA-5619084|ABC transporter disorders
DERL3,R-HSA-5619084|ABC transporter disorders
OS9,R-HSA-5619084|ABC transporter disorders
PSMC1,R-HSA-5619084|ABC transporter disorders
PSMC2,R-HSA-5619084|ABC transporter disorders
PSMD11,R-HSA-5619084|ABC transporter disorders
PSMD12,R-HSA-5619084|ABC transporter disorders
PSMD14,R-HSA-5619084|ABC transporter disorders
RPS27A,R-HSA-5619084|ABC transporter disorders
SEL1L,R-HSA-5619084|ABC transporter disorders
UBC,R-HSA-5619084|ABC transporter disorders
VCP,R-HSA-5619084|ABC transporter disorders
ABCB6,R-HSA-382556|ABC-family proteins mediated transport
ABCC2,R-HSA-382556|ABC-family proteins mediated transport
ABCC3,R-HSA-382556|ABC-family proteins mediated transport
ABCC4,R-HSA-382556|ABC-family proteins mediated transport
ABCD1,R-HSA-382556|ABC-family proteins mediated transport
ADRM1,R-HSA-382556|ABC-family proteins mediated transport
DERL2,R-HSA-382556|ABC-family proteins mediated transport
DERL3,R-HSA-382556|ABC-family proteins mediated transport
EIF2S1,R-HSA-382556|ABC-family proteins mediated transport
EIF2S3,R-HSA-382556|ABC-family proteins mediated transport
OS9,R-HSA-382556|ABC-family proteins mediated transport
PSMC1,R-HSA-382556|ABC-family proteins mediated transport
PSMC2,R-HSA-382556|ABC-family proteins mediated transport
PSMD11,R-HSA-382556|ABC-family proteins mediated transport
PSMD12,R-HSA-382556|ABC-family proteins mediated transport
PSMD14,R-HSA-382556|ABC-family proteins mediated transport
RPS27A,R-HSA-382556|ABC-family proteins mediated transport
SEL1L,R-HSA-382556|ABC-family proteins mediated transport
UBC,R-HSA-382556|ABC-family proteins mediated transport
VCP,R-HSA-382556|ABC-family proteins mediated transport
ADCY1,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
ADCY3,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
ADCY4,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
ADCY6,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
CREB1,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
GNB3,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
GNG4,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
GNG8,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
PRKACB,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
PRKAR1A,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
PRKAR2B,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
PRKX,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
BIRC6,R-HSA-9700645|ALK mutants bind TKIs
EML4,R-HSA-9700645|ALK mutants bind TKIs
HIP1,R-HSA-9700645|ALK mutants bind TKIs
NPM1,R-HSA-9700645|ALK mutants bind TKIs
PRKAR1A,R-HSA-9700645|ALK mutants bind TKIs
STRN,R-HSA-9700645|ALK mutants bind TKIs
ADRM1,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
DERL2,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
DERL3,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
OS9,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
PSMC1,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
PSMC2,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
PSMD11,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
