src,dst
R-HSA-109581|Apoptosis,R-HSA-109606|Intrinsic Pathway for Apoptosis
R-HSA-109581|Apoptosis,R-HSA-169911|Regulation of Apoptosis
R-HSA-109581|Apoptosis,R-HSA-5357769|Caspase activation via extrinsic apoptotic signalling pathway
R-HSA-109581|Apoptosis,R-HSA-75153|Apoptotic execution phase
R-HSA-109582|Hemostasis,R-HSA-140877|Formation of Fibrin Clot (Clotting Cascade)
R-HSA-109582|Hemostasis,R-HSA-202733|Cell surface interactions at the vascular wall
R-HSA-109582|Hemostasis,R-HSA-418346|Platelet homeostasis
R-HSA-109582|Hemostasis,R-HSA-75205|Dissolution of Fibrin Clot
R-HSA-109582|Hemostasis,R-HSA-75892|Platelet Adhesion to exposed collagen
R-HSA-109582|Hemostasis,"R-HSA-76002|Platelet activation, signaling and aggregation"
R-HSA-109582|Hemostasis,R-HSA-983231|Factors involved in megakaryocyte development and platelet production
R-HSA-109606|Intrinsic Pathway for Apoptosis,R-HSA-114452|Activation of BH3-only proteins
R-HSA-110313|Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,R-HSA-110312|Translesion synthesis by REV1
R-HSA-110313|Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,R-HSA-110320|Translesion Synthesis by POLH
R-HSA-110313|Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,R-HSA-5655862|Translesion synthesis by POLK
R-HSA-110313|Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,R-HSA-5656121|Translesion synthesis by POLI
R-HSA-110313|Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,R-HSA-5656169|Termination of translesion DNA synthesis
R-HSA-111465|Apoptotic cleavage of cellular proteins,R-HSA-264870|Caspase-mediated cleavage of cytoskeletal proteins
R-HSA-111885|Opioid Signalling,R-HSA-112040|G-protein mediated events
R-HSA-111885|Opioid Signalling,R-HSA-180024|DARPP-32 events
R-HSA-111931|PKA-mediated phosphorylation of CREB,R-HSA-163615|PKA activation
R-HSA-111933|Calmodulin induced events,R-HSA-111931|PKA-mediated phosphorylation of CREB
R-HSA-111996|Ca-dependent events,R-HSA-111997|CaM pathway
R-HSA-111997|CaM pathway,R-HSA-111933|Calmodulin induced events
R-HSA-112040|G-protein mediated events,R-HSA-112043|PLC beta mediated events
R-HSA-112043|PLC beta mediated events,R-HSA-111996|Ca-dependent events
R-HSA-112310|Neurotransmitter release cycle,R-HSA-210500|Glutamate Neurotransmitter Release Cycle
R-HSA-112310|Neurotransmitter release cycle,"R-HSA-888590|GABA synthesis, release, reuptake and degradation"
R-HSA-112314|Neurotransmitter receptors and postsynaptic signal transmission,"R-HSA-399721|Glutamate binding, activation of AMPA receptors and synaptic plasticity"
R-HSA-112314|Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-442755|Activation of NMDA receptors and postsynaptic events
R-HSA-112314|Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-451326|Activation of kainate receptors upon glutamate binding
R-HSA-112314|Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-977443|GABA receptor activation
R-HSA-112315|Transmission across Chemical Synapses,R-HSA-112310|Neurotransmitter release cycle
