src,dst,importance
PIM3,AAK1,0.3333333333333333
CDK15,AAK1,0.2857142857142857
RIOK2,AAK1,0.2424242424242424
CDK18,AAK1,0.2307692307692307
SMG1,AAK1,0.2195121951219512
TESK2,AAK1,0.21875
CLK3,AAK1,0.2058823529411764
MLKL,AAK1,0.1515151515151515
IARS,AARS,0.3103448275862069
IARS2,AARS,0.2307692307692307
TARS,AARS,0.1923076923076923
HARS,AARS,0.1785714285714285
DARS,AARS,0.1612903225806451
CA1,AARS,0.1481481481481481
CARS,AARS,0.1481481481481481
FAM129A,AARS,0.1428571428571428
CRYM,AASS,0.25
HSPB9,AASS,0.2105263157894736
IRF2BP2,AASS,0.1904761904761904
WDR26,AASS,0.1818181818181818
NIPSNAP3A,AASS,0.1666666666666666
TOB2,AASS,0.16
SAMD9,AASS,0.1578947368421052
GZMB,AASS,0.15625
ACSL5,ABCB6,0.1568627450980392
MARCH2,ABCB6,0.1272727272727272
RTN3,ABCB6,0.12
GYPC,ABCC2,0.1428571428571428
ADCY4,ABCC2,0.1388888888888889
HMMR,ABCC2,0.125
LRRC8B,ABCC2,0.125
SLC44A5,ABCC2,0.125
SIGLEC6,ABCC2,0.1212121212121212
GYPC,ABCC3,0.1304347826086956
ADCY4,ABCC3,0.1290322580645161
SLC22A18,ABCC4,0.1224489795918367
HN1,ABHD14B,0.4545454545454545
HSPB9,ABHD14B,0.4545454545454545
IER5,ABHD14B,0.4285714285714285
MIDN,ABHD14B,0.3846153846153846
ARL4A,ABHD14B,0.375
MOB1B,ABHD14B,0.3684210526315789
HSPA12A,ABHD14B,0.3636363636363636
GRAP2,ABHD14B,0.3571428571428571
FAM180B,ABHD15,0.3333333333333333
BROX,ABHD15,0.2857142857142857
C1orf56,ABHD15,0.2857142857142857
HPCAL1,ABHD15,0.2857142857142857
TXLNA,ABHD15,0.2727272727272727
CDCP1,ABHD15,0.25
TSPAN31,ABHD15,0.25
ENDOD1,ABHD15,0.2307692307692307
C14orf119,ABHD4,0.1428571428571428
CCDC70,ABHD4,0.1428571428571428
TMEM106C,ABHD4,0.1428571428571428
NIPSNAP3A,ABHD4,0.1333333333333333
ARGLU1,ABHD4,0.125
SMIM14,ABHD4,0.125
SSR2,ABHD4,0.125
SSR3,ABHD4,0.125
TES,ABI1,0.15625
LDHA,ABI1,0.1515151515151515
RPL34,ABI1,0.1515151515151515
NDRG1,ABI1,0.1395348837209302
RPL14,ABI1,0.1388888888888889
CCDC6,ABI1,0.1379310344827586
HIST1H2AC,ABI1,0.1333333333333333
NDRG2,ABI1,0.131578947368421
CCDC6,ABI2,0.2068965517241379
GAN,ABI2,0.1666666666666666
RANBP10,ABI2,0.1666666666666666
MIDN,ABI2,0.1612903225806451
TP53BP2,ABI2,0.1578947368421052
ZRANB1,ABI2,0.1428571428571428
MVP,ABI2,0.1395348837209302
PTTG1,ABI2,0.1388888888888889
WEE1,ABL2,0.2051282051282051
TESK2,ABL2,0.15
CLK3,ABL2,0.1428571428571428
MYO1F,ABL2,0.1282051282051282
RANBP10,ABTB1,0.3636363636363636
TTC17,ABTB1,0.3636363636363636
ARL4A,ABTB1,0.3333333333333333
MIDN,ABTB1,0.3333333333333333
GRAP2,ABTB1,0.3076923076923077
REPS2,ABTB1,0.3076923076923077
WDR26,ABTB1,0.3076923076923077
SAMD9,ABTB1,0.3
HIST1H2AG,ABTB2,0.125
HIST1H2AK,ABTB2,0.125
HIST1H2AM,ABTB2,0.125
IARS2,ACAD10,0.1538461538461538
C14orf119,ACAD10,0.1428571428571428
CCDC70,ACAD10,0.1428571428571428
ETHE1,ACAD10,0.1428571428571428
IDH3A,ACAD10,0.1428571428571428
TIMM44,ACAD10,0.1428571428571428
ALAS1,ACAD10,0.1333333333333333
FECH,ACAD10,0.1333333333333333
NIPSNAP3A,ACAD11,0.2142857142857142
SLC25A6,ACAD11,0.1904761904761904
WDR26,ACAD11,0.1578947368421052
FAM214B,ACAD11,0.1538461538461538
LENG8,ACAD11,0.1538461538461538
PNRC1,ACAD11,0.1538461538461538
ARMCX3,ACAD11,0.15
TIMM23,ACAD11,0.15
ARFGAP3,ACAP2,0.2352941176470588
ARHGEF12,ACAP2,0.1666666666666666
