gene,meta_go_in_degree,meta_go_out_degree,meta_go_in_strength,meta_go_out_strength,meta_pathway_count,meta_is_perturbable
SAMD11,1.0661491,1.0661491,1.1978873,1.1978873,-1.0265216,0.0
HES4,0.82061213,0.82061213,1.0819036,1.0819036,-1.0265216,0.0
ISG15,0.27683672,0.27683672,0.105583325,0.105583325,1.5468549,0.0
TTLL10,1.0449144,1.0449144,1.1235473,1.1235473,-0.44945776,0.0
TNFRSF18,0.4785134,0.4785134,0.40444908,0.40444908,0.31337905,0.0
TNFRSF4,0.09457435,0.09457435,-0.022730272,-0.022730272,0.12760599,0.0
SDF4,0.70674294,0.70674294,0.61815745,0.61815745,-1.0265216,0.0
CCNL2,0.95180416,0.95180416,0.9738319,0.9738319,-1.0265216,0.0
ATAD3C,-0.7375452,-0.7375452,-0.8231453,-0.8231453,-1.0265216,0.0
MIB2,0.8837384,0.8837384,0.89546615,0.89546615,1.7476288,0.0
MMP23B,-0.40840515,-0.40840515,-0.45073676,-0.45073676,-1.0265216,0.0
CALML6,1.3143353,1.3143353,1.4807613,1.4807613,-1.0265216,0.0
TNFRSF14,-0.17944491,-0.17944491,-0.3355183,-0.3355183,0.46516666,0.0
SMIM1,1.1417979,1.1417979,1.3784837,1.3784837,-1.0265216,0.0
ESPN,-1.5887616,-1.5887616,-1.6330398,-1.6330398,0.31337905,0.0
TNFRSF9,0.61007106,0.61007106,0.5965554,0.5965554,0.12760599,0.0
ERRFI1,-0.37813905,-0.37813905,-0.63170975,-0.63170975,-1.0265216,0.0
RERE,0.3541701,0.3541701,0.27482584,0.27482584,-1.0265216,0.0
ENO1,0.6082507,0.6082507,0.47072777,0.47072777,0.7046697,0.0
H6PD,-2.3215065,-2.3215065,-1.995274,-1.995274,-1.0265216,0.0
CTNNBIP1,0.56113946,0.56113946,0.4140579,0.4140579,0.12760599,0.0
KIF1B,-1.1437321,-1.1437321,-1.1897411,-1.1897411,0.80272734,0.0
FBXO44,0.95180416,0.95180416,0.9691039,0.9691039,0.31337905,0.0
MTHFR,-2.8091903,-2.8091903,-2.1125376,-2.1125376,0.12760599,0.0
TMEM51,1.0858375,1.0858375,1.5209424,1.5209424,-1.0265216,0.0
EFHD2,-1.1437321,-1.1437321,-1.2153374,-1.2153374,0.31337905,0.0
CELA2A,0.32751623,0.32751623,0.20517513,0.20517513,-0.111897096,0.0
SLC25A34,0.0715042,0.0715042,0.20504259,0.20504259,-1.0265216,0.0
FBLIM1,0.85481155,0.85481155,0.7984486,0.7984486,0.12760599,0.0
SPEN,0.45170718,0.45170718,0.3348477,0.3348477,0.46516666,0.0
HSPB7,1.1085795,1.1085795,1.141871,1.141871,-1.0265216,0.0
EPHA2,-1.8950422,-1.8950422,-1.7733712,-1.7733712,1.3797911,0.0
NECAP2,-1.6768237,-1.6768237,-1.632799,-1.632799,0.31337905,0.0
NBPF1,1.2359613,1.2359613,1.5556442,1.5556442,-1.0265216,0.0
ACTL8,1.032059,1.032059,1.1698322,1.1698322,-1.0265216,0.0
MINOS1-NBL1,-0.61339414,-0.61339414,-0.81115574,-0.81115574,-1.0265216,0.0
TMCO4,1.0858375,1.0858375,1.5209424,1.5209424,-1.0265216,0.0
PLA2G2C,-1.004546,-1.004546,-1.0210263,-1.0210263,-1.0265216,0.0
UBXN10-AS1,-1.004546,-1.004546,-1.0210263,-1.0210263,-1.0265216,0.0
DDOST,0.6420576,0.6420576,0.63970536,0.63970536,1.7173518,1.0
HP1BP3,0.45398048,0.45398048,0.38209113,0.38209113,-1.0265216,0.0
EIF4G3,-0.54445714,-0.54445714,-0.64687026,-0.64687026,0.5935012,0.0
KDM1A,-1.0415851,-1.0415851,-1.2514567,-1.2514567,1.8323655,0.0
HNRNPR,1.0045838,1.0045838,1.0897442,1.0897442,0.80272734,0.0
ID3,-0.185051,-0.185051,-0.40304536,-0.40304536,0.46516666,0.0
FUCA1,0.51064587,0.51064587,0.4212929,0.4212929,0.31337905,0.0
RUNX3,0.9138878,0.9138878,0.97767115,0.97767115,0.9697911,0.0
SYF2,0.667645,0.667645,0.6282482,0.6282482,0.31337905,0.0
C1orf63,0.9174205,0.9174205,1.3410503,1.3410503,-1.0265216,0.0
RHCE,-0.11543897,-0.11543897,-0.204152,-0.204152,-0.44945776,0.0
PAQR7,0.70674294,0.70674294,0.751879,0.751879,-1.0265216,0.0
STMN1,0.09834696,0.09834696,-0.09702788,-0.09702788,0.12760599,0.0
SLC30A2,0.8910931,0.8910931,0.8856036,0.8856036,0.12760599,0.0
CATSPER4,-0.2196604,-0.2196604,-0.37358952,-0.37358952,-0.111897096,0.0
SH3BGRL3,1.226184,1.226184,1.4051417,1.4051417,-1.0265216,0.0
CD52,-0.40840515,-0.40840515,-0.57732517,-0.57732517,-0.44945776,0.0
AIM1L,-1.6768237,-1.6768237,-1.5380411,-1.5380411,-1.0265216,0.0
LIN28A,-0.20793359,-0.20793359,-0.40463898,-0.40463898,-0.44945776,0.0
DHDDS,0.3382993,0.3382993,0.25232357,0.25232357,0.46516666,1.0
HMGN2,1.1349337,1.1349337,1.1981399,1.1981399,-1.0265216,0.0
FAM46B,0.9162449,0.9162449,0.9261527,0.9261527,-1.0265216,0.0
SYTL1,0.31931913,0.31931913,0.18549953,0.18549953,0.31337905,0.0
WASF2,-0.9358496,-0.9358496,-1.1283627,-1.1283627,1.4248035,0.0
IFI6,-0.05209864,-0.05209864,-0.23260397,-0.23260397,0.31337905,0.0
