src,dst
G000,P01
G001,P05
G001,P03
G002,P05
G002,P06
G002,P10
G003,P01
G004,P10
G004,P05
G004,P08
G005,P06
G006,P10
G006,P02
G007,P03
G007,P06
G008,P02
G008,P08
G009,P07
G010,P03
G011,P11
G012,P03
G012,P06
G012,P11
G013,P05
G014,P11
G014,P07
G015,P01
G016,P07
G016,P04
G016,P05
G017,P02
G018,P02
G018,P11
G019,P01
G019,P03
G019,P00
G020,P07
G020,P02
G020,P03
G021,P10
G022,P06
G022,P09
G022,P02
G023,P10
G023,P09
G023,P02
G024,P09
G024,P02
G024,P01
G025,P01
G025,P09
G025,P03
G026,P00
G027,P10
G028,P11
G028,P05
G028,P07
G029,P05
G030,P05
G030,P09
G030,P07
G031,P06
G031,P11
G032,P07
G033,P09
G033,P02
G034,P00
G035,P00
G035,P08
G035,P04
G036,P07
G037,P10
G037,P04
G037,P03
G038,P11
G038,P01
G038,P09
G039,P05
G039,P01
G039,P02
G040,P03
G041,P06
G041,P00
G041,P01
G042,P10
G043,P11
G044,P06
G045,P10
G045,P09
G045,P02
G046,P05
G047,P05
G047,P01
